categoria;grupo;total;percentual_fatura;lancamentos
Apps de pedido e conveniencia;iFood;1097,25;17,62%;11
Mobilidade;Uber;728,47;11,70%;28
Assinaturas e apps;Apple;521,47;8,37%;11
Parcelados legados;Parcelados antigos;497,36;7,99%;2
Cuidado pessoal;Beleza e barbearia;487,04;7,82%;11
Mobilidade;99;427,29;6,86%;23
Mercado e casa;Casa e utilidades;411,32;6,61%;3
Apps de pedido e conveniencia;Pedidos diretos;369,00;5,93%;3
Apps de pedido e conveniencia;Keeta;273,53;4,39%;6
Mercado e casa;Mercado presencial;256,29;4,12%;5
Assinaturas e apps;Amazon;157,40;2,53%;7
Compras online;Shopee;153,50;2,47%;3
Veiculo;Mercadocar;149,96;2,41%;1
Compras online;Mercado Livre;145,77;2,34%;2
Assinaturas e apps;Kiwify;123,88;1,99%;1
Assinaturas e apps;ChatGPT;105,62;1,70%;1
Saude;Farmacias;78,77;1,27%;1
Assinaturas e apps;Hub Educacional;74,54;1,20%;1
Saude;OdontoPrev;61,49;0,99%;1
Apps de pedido e conveniencia;99;33,38;0,54%;1
Assinaturas e apps;TIM;30,00;0,48%;1
Assinaturas e apps;NordVPN;22,90;0,37%;1
Assinaturas e apps;iFood;12,94;0,21%;2
Assinaturas e apps;Uber;3,99;0,06%;1
