categoria;grupo;estabelecimento;total;lancamentos
Apps de pedido e conveniencia;iFood;IFD*ANDORINHA SUPERMER;636,32;1
Apps de pedido e conveniencia;iFood;IFD*40.161.303 ALEXSAN;96,57;1
Apps de pedido e conveniencia;iFood;IFD*DROGARIA SAO PAULO;96,39;2
Apps de pedido e conveniencia;iFood;IFD*DAKI CD BARUER01/02;69,91;1
Apps de pedido e conveniencia;iFood;IFD*CENTURY PAES E DOC;64,21;2
Apps de pedido e conveniencia;iFood;IFD*ORGANIZACAO FARMAC;56,31;1
Apps de pedido e conveniencia;iFood;IFD*CIRO ROSA DE LIMA;31,98;1
Apps de pedido e conveniencia;iFood;IFD*LA CASA DAS PALETA;22,83;1
Mobilidade;Uber;Uber UBER *TRIP HELP.U;518,18;20
Mobilidade;Uber;UBER* TRIP;154,37;6
Mobilidade;Uber;DL *UberRides;27,97;1
Mobilidade;Uber;DL*UberRides;27,95;1
Assinaturas e apps;Apple;APPLECOMBILL;521,47;11
Parcelados legados;Parcelados antigos;ConnectionPoint 16/16;304,32;1
Parcelados legados;Parcelados antigos;EC *JPS 05/10;193,04;1
Cuidado pessoal;Beleza e barbearia;PAYGO*SPECTER BARBERSH;230,00;2
Cuidado pessoal;Beleza e barbearia;BogaEBeleze;200,57;8
Cuidado pessoal;Beleza e barbearia;PERFUMARIA TULIPE;56,47;1
Mobilidade;99;PG *99 RIDE;187,09;12
Mobilidade;99;99APP *99App;177,30;7
Mobilidade;99;DL*99 RIDE;62,90;4
Mercado e casa;Casa e utilidades;CAROLINA SOARES-GAS;250,00;1
Mercado e casa;Casa e utilidades;HIDROSOLUCOES HIDR02/03;161,34;1
Mercado e casa;Casa e utilidades;HIDROSOLUCOES HIDRAULI;-0,02;1
Apps de pedido e conveniencia;Pedidos diretos;LIV UP;246,50;1
Apps de pedido e conveniencia;Pedidos diretos;POINT SANTANA;70,60;1
Apps de pedido e conveniencia;Pedidos diretos;MCDONALDSECOMMERCE;51,90;1
Apps de pedido e conveniencia;Keeta;KEETA*F S C BAR E R;52,68;1
Apps de pedido e conveniencia;Keeta;KEETABR*SUSHI LIMAO LT;48,18;1
Apps de pedido e conveniencia;Keeta;KEETA*KVIL LANCHES;47,97;1
Apps de pedido e conveniencia;Keeta;KEETABR*AUSTIN PUBLICI;47,12;1
Apps de pedido e conveniencia;Keeta;KEETA*46 136 626 CA;40,89;1
Apps de pedido e conveniencia;Keeta;KEETA*ALVARES BAR E;36,69;1
Mercado e casa;Mercado presencial;SONDA ITABERABA;98,27;1
Mercado e casa;Mercado presencial;SATO SUPERMERCADO;91,35;2
Mercado e casa;Mercado presencial;SUPERMERCADO VIOLETA;56,67;1
Mercado e casa;Mercado presencial;REU FRUTAS;10,00;1
Assinaturas e apps;Amazon;Amazon Prime Canais;127,50;5
Assinaturas e apps;Amazon;AmazonPrimeBR;19,90;1
Assinaturas e apps;Amazon;Amazon Ad free for Pri;10,00;1
Compras online;Shopee;SHOPEE *KubeLoja 03/03;63,31;1
Compras online;Shopee;SHOPEE *SALONLINE 03/03;58,42;1
Compras online;Shopee;SHOPEE *AVSTANDARD03/03;31,77;1
Veiculo;Mercadocar;Mercadocar 07/07;149,96;1
Compras online;Mercado Livre;MERCADOLIVRE*NUTRI01/02;80,01;1
Compras online;Mercado Livre;MERCADOLIVRE*7PROD10/12;65,76;1
Assinaturas e apps;Kiwify;KIWIFY *LUMEB05/12;123,88;1
Assinaturas e apps;ChatGPT;OPENAI *CHATGPT SUBSCR;105,62;1
Saude;Farmacias;RAIA DROGASIL SA;78,77;1
Assinaturas e apps;Hub Educacional;MP *HUBEDUCACIONALIMO;74,54;1
Saude;OdontoPrev;ODONTOPREV*BRADESCO DE;61,49;1
Apps de pedido e conveniencia;99;99Food *ZAMP S.A.;33,38;1
Assinaturas e apps;TIM;TIM*Tim;30,00;1
Assinaturas e apps;NordVPN;EBANX_NORD* VPNCOM;22,90;1
Assinaturas e apps;iFood;IFD*IFOOD CLUB;12,94;2
Assinaturas e apps;Uber;UBER *ONE MEMBERSHIP U;3,99;1
